CustomerID,purchase_cnt,item_cnt,recency,user_total,user_average,unique_products,average_interval,total_transactions,cancel_frequency,cancel_rate
12534,1,645,130,981.2,981.2,62,0.0,62,0,0.0
16222,1,323,318,771.0,771.0,118,0.0,120,0,0.0
16595,1,335,61,360.2,360.2,83,0.0,85,0,0.0
15720,1,281,24,598.7,598.7,128,0.0,128,0,0.0
18022,1,693,35,607.7,607.7,139,0.0,162,0,0.0
12378,1,2523,129,3996.0,3996.0,218,0.0,218,0,0.0
13635,1,665,67,1066.0,1066.0,61,0.0,61,0,0.0
14093,1,391,12,433.9,433.9,95,0.0,100,0,0.0
14382,1,1231,26,615.5,615.5,121,0.0,126,0,0.0
17832,1,208,49,155.4,155.4,61,0.0,61,0,0.0
16054,1,379,145,781.8,781.8,69,0.0,69,0,0.0
14729,1,197,373,313.5,313.5,69,0.0,71,0,0.0
16274,1,151,373,331.5,331.5,63,0.0,63,0,0.0
13259,1,126,61,283.2,283.2,77,0.0,81,0,0.0
13428,1,151,10,201.8,201.8,70,0.0,71,0,0.0
12965,1,282,89,769.8,769.8,108,0.0,108,0,0.0
12398,1,1389,45,1435.7,1435.7,84,0.0,84,0,0.0
17597,1,1164,213,2039.3,2039.3,54,0.0,54,0,0.0
16270,1,688,353,1141.2,1141.2,54,0.0,54,0,0.0
16406,1,116,18,154.4,154.4,54,0.0,58,0,0.0
12349,1,630,18,1457.5,1457.5,72,0.0,72,0,0.0
15069,1,520,179,1109.5,1109.5,70,0.0,70,0,0.0
12890,1,256,24,376.7,376.7,78,0.0,79,0,0.0
17379,1,623,11,389.7,389.7,71,0.0,78,0,0.0
12988,1,126,292,505.8,505.8,75,0.0,83,0,0.0
16800,1,524,11,1162.7,1162.7,148,0.0,156,0,0.0
12391,1,293,21,439.7,439.7,92,0.0,93,0,0.0
12371,1,582,59,1528.0,1528.0,62,0.0,62,0,0.0
18082,1,608,25,680.8,680.8,62,0.0,70,0,0.0
17619,1,124,312,214.4,214.4,71,0.0,74,0,0.0
17052,1,251,28,399.1,399.1,72,0.0,83,0,0.0
15041,1,102,170,178.7,178.7,65,0.0,65,0,0.0
15006,1,285,51,475.4,475.4,120,0.0,131,0,0.0
15004,1,606,147,1200.7,1200.7,150,0.0,150,0,0.0
13607,1,288,40,675.5,675.5,93,0.0,97,0,0.0
15464,1,347,338,1042.6,1042.6,154,0.0,154,0,0.0
17070,1,131,114,304.2,304.2,62,0.0,62,0,0.0
16445,1,111,33,230.5,230.5,62,0.0,63,0,0.0
16022,1,255,260,602.6,602.6,68,0.0,71,0,0.0
16776,1,254,60,371.5,371.5,61,0.0,71,0,0.0
12688,1,3028,113,4873.8,4873.8,171,0.0,171,0,0.0
12847,1,873,22,843.6,843.6,72,0.0,84,0,0.0
17914,1,457,3,329.4,329.4,72,0.0,75,0,0.0
13357,1,318,257,603.1,603.1,84,0.0,88,0,0.0
14953,1,224,25,285.7,285.7,54,0.0,54,0,0.0
17248,1,213,120,318.7,318.7,68,0.0,69,0,0.0
13339,1,326,200,860.1,860.1,54,0.0,54,0,0.0
16504,1,510,25,465.9,465.9,76,0.0,83,0,0.0
12772,1,551,59,752.5,752.5,54,0.0,54,0,0.0
13667,1,149,149,299.0,299.0,82,0.0,83,0,0.0
16340,1,476,107,530.1,530.1,123,0.0,139,0,0.0
17614,1,235,57,386.3,386.3,97,0.0,98,0,0.0
12357,1,2708,33,6207.7,6207.7,131,0.0,131,0,0.0
16065,1,228,365,367.1,367.1,71,0.0,73,0,0.0
15832,1,465,254,836.8,836.8,54,0.0,54,0,0.0
13439,1,242,255,283.7,283.7,54,0.0,54,0,0.0
14675,1,336,16,596.4,596.4,93,0.0,97,0,0.0
13979,1,639,73,869.9,869.9,54,0.0,54,0,0.0
15000,1,218,47,490.5,490.5,76,0.0,77,0,0.0
15870,1,333,32,351.4,351.4,68,0.0,74,0,0.0
17936,1,257,5,380.1,380.1,68,0.0,72,0,0.0
15472,1,251,113,371.6,371.6,76,0.0,76,0,0.0
14904,2,1937,2,976.5,488.25,65,0.35,67,0,0.0
15123,2,1195,7,2199.3,1099.65,93,1.89,106,0,0.0
12743,2,315,134,540.1,270.05,114,0.0,131,0,0.0
15494,2,1139,21,1280.6,640.3,120,0.82,122,0,0.0
15272,2,310,57,721.9,360.95,63,0.45,63,0,0.0
12876,2,1924,57,2040.4,1020.2,65,1.7,82,0,0.0
17459,2,537,43,657.3,328.65,88,0.15,111,0,0.0
14087,2,249,2,178.7,89.35,62,0.0,69,1,1.45
14971,2,633,35,1089.3,544.65,143,0.05,154,0,0.0
13122,2,585,94,922.4,461.2,54,2.7,55,0,0.0
16367,2,643,37,800.7,400.35,123,2.58,127,0,0.0
17727,2,633,9,1029.9,514.95,65,0.08,66,1,1.52
17255,2,227,40,291.5,145.75,69,3.53,74,0,0.0
17037,2,652,78,1253.2,626.6,75,0.12,77,2,2.6
15850,2,283,19,228.6,114.3,86,1.63,92,0,0.0
14048,2,270,277,368.5,184.25,83,0.31,87,3,3.45
15880,2,178,369,299.0,149.5,95,0.0,97,1,1.03
12607,2,0,58,0.0,0.0,101,0.01,202,101,50.0
15573,2,339,31,570.5,285.25,86,0.56,95,0,0.0
13548,2,436,96,678.2,339.1,114,1.2,123,0,0.0
12838,2,355,33,672.0,336.0,115,2.86,120,0,0.0
17387,2,516,19,741.7,370.85,70,0.18,75,0,0.0
15444,2,759,9,1411.2,705.6,191,0.15,214,0,0.0
14656,2,120,169,291.0,145.5,73,1.44,80,0,0.0
13822,2,611,5,632.0,316.0,90,0.36,96,0,0.0
17566,2,497,8,869.8,434.9,113,0.12,142,0,0.0
18196,2,431,95,686.6,343.3,131,1.41,139,0,0.0
